gene,mean_abs_shap,mean_shap,std_shap,rank
blaOXA-23,0.623463,-0.194832,0.727015,1
blaOXA-100,0.266463,0.090157,0.400697,2
blaOXA-58,0.262747,0.051742,0.41165,3
blaOXA-71,0.22825,-0.043182,0.344853,4
tet(B),0.198011,-0.001489,0.210549,5
sul2,0.193858,0.015509,0.193858,6
gyrA_S81L,0.191268,0.005403,0.275502,7
blaOXA-312,0.103609,0.00557,0.369496,8
blaADC,0.0842,-0.029897,0.125785,9
blaOXA-72,0.078789,0.078789,0.365328,10
blaOXA-82,0.058277,-0.012141,0.130764,11
blaOXA-66,0.051951,-0.007926,0.061002,12
merP,0.047948,-0.002724,0.093811,13
aph(3'')-Ib,0.035493,-0.002431,0.03614,14
blaNDM-1,0.030444,0.001619,0.15277,15
blaOXA-64,0.02907,0.004405,0.065921,16
blaOXA-113,0.022714,-0.022714,0.0,17
qacE,0.015873,-0.00407,0.054794,18
blaADC-33,0.014891,0.000792,0.074725,19
merA,0.012812,-0.002473,0.02317,20
ant(3'')-Ia,0.012617,-0.000678,0.044995,21
adeS_H189Y,0.012385,0.002867,0.027641,22
merE,0.011574,-0.002234,0.02093,23
blaOXA-68,0.011184,-0.000608,0.032731,24
blaADC-76,0.011184,-0.000608,0.032731,24
blaADC-223,0.010543,0.010543,0.099458,26
aac(6')-Ian,0.006581,-0.006581,0.0,27
blaCARB-49,0.006214,-0.000331,0.031181,28
mph(E),0.005449,-0.002477,0.00662,29
msr(E),0.005449,-0.002477,0.00662,29
blaADC-74,0.00409,-0.00409,0.0,31
blaADC-191,0.003449,0.003449,0.032538,32
blaADC-176,0.002804,-0.002804,0.0,33
floR,0.002626,-0.002626,0.017417,34
adeS_N125K,0.002589,-0.002589,0.0,35
blaOXA-24,0.002589,-0.002589,0.0,35
blaADC-25,0.000242,1.3e-05,0.001217,37
blaOXA-313,0.0,0.0,0.0,38
blaADC-240,0.0,0.0,0.0,69
blaADC-242,0.0,0.0,0.0,69
blaADC-30,0.0,0.0,0.0,69
blaADC-26,0.0,0.0,0.0,69
blaADC-249,0.0,0.0,0.0,69
aac(6')-Ib3,0.0,0.0,0.0,69
adeS_Q163Ter,0.0,0.0,0.0,69
adeC,0.0,0.0,0.0,69
ant(2'')-Ia,0.0,0.0,0.0,69
aph(3')-VI,0.0,0.0,0.0,69
aac(6')-Ib',0.0,0.0,0.0,69
blaOXA-208,0.0,0.0,0.0,69
blaGES-11,0.0,0.0,0.0,69
blaMCA,0.0,0.0,0.0,69
blaCMY-30,0.0,0.0,0.0,69
blaADC-11,0.0,0.0,0.0,69
blaADC-154,0.0,0.0,0.0,69
blaADC-163,0.0,0.0,0.0,69
aph(6)-Id,0.0,0.0,0.0,69
armA,0.0,0.0,0.0,69
blaADC-101,0.0,0.0,0.0,69
aacA16,0.0,0.0,0.0,69
aadA11,0.0,0.0,0.0,69
aac(3)-IIe,0.0,0.0,0.0,69
aac(6')-Ib,0.0,0.0,0.0,69
aadA1,0.0,0.0,0.0,69
blaOXA-69,0.0,0.0,0.0,69
blaOXA-65,0.0,0.0,0.0,69
blaOXA-259,0.0,0.0,0.0,69
blaOXA-314,0.0,0.0,0.0,69
blaOXA-235,0.0,0.0,0.0,69
blaOXA-223,0.0,0.0,0.0,69
blaOXA-121,0.0,0.0,0.0,69
blaADC-368,0.0,0.0,0.0,69
blaCARB-16,0.0,0.0,0.0,69
blaADC-96,0.0,0.0,0.0,69
blaADC-80,0.0,0.0,0.0,69
catB8,0.0,0.0,0.0,69
blaTEM-1,0.0,0.0,0.0,69
ble,0.0,0.0,0.0,69
blaOXA-91,0.0,0.0,0.0,69
blaOXA-90,0.0,0.0,0.0,69
fos,0.0,0.0,0.0,69
dfrB1,0.0,0.0,0.0,69
dfrA44,0.0,0.0,0.0,69
dfrA7,0.0,0.0,0.0,69
cmlA1,0.0,0.0,0.0,69
clpK,0.0,0.0,0.0,69
catA1,0.0,0.0,0.0,69
hdeD-GI,0.0,0.0,0.0,69
pmrA_E8D,0.0,0.0,0.0,69
parC_E88K,0.0,0.0,0.0,69
qacEdelta1,0.0,0.0,0.0,69
pmrB_T232I,0.0,0.0,0.0,69
shsP,0.0,0.0,0.0,69
sul1,0.0,0.0,0.0,69
tet(39),0.0,0.0,0.0,69
blaSHV-5,0.0,0.0,0.0,69
tet(A),0.0,0.0,0.0,69
trxLHR,0.0,0.0,0.0,69
yfdX1,0.0,0.0,0.0,69
yfdX2,0.0,0.0,0.0,69
